feature,importance
BMI,0.33857923742160806
Weight,0.20959487885707498
Age,0.06850493744430507
Height,0.059992056889426076
Gender_Female,0.038477707902115146
Gender_Male,0.03593437412887384
FCVC,0.023191568223795044
NCP,0.019813376413792418
CALC_Sometimes,0.018761204486755553
family_history_no,0.01723609937204559
FAF,0.016543947720304923
CAEC_Frequently,0.015979657414514622
family_history_yes,0.015732822143921504
CALC_no,0.01518755104899433
CAEC_Sometimes,0.014947266952362901
TUE,0.014158584270082826
CH2O,0.012980289959577222
MTRANS_Automobile,0.011273020996549026
MTRANS_Public_Transportation,0.010958115936996174
FAVC_yes,0.009300868354755186
FAVC_no,0.009019559453383504
SCC_yes,0.004219390957495948
SCC_no,0.003950332420675961
CAEC_no,0.0037258997592234644
MTRANS_Walking,0.0028862533047163885
CAEC_Always,0.0027568011402695925
CALC_Frequently,0.0027145027817200925
SMOKE_no,0.0014648750791521128
SMOKE_yes,0.0013066246159595726
MTRANS_Motorbike,0.0004338227216801458
